animal	bli_dpi	flux
13851	595	413300
13947	595	1285000
14060	596	600555.5555555555
14061	596	1040555.5555555555
14063	596	1207222.2222222222
14052	599	934100
14055	599	1220555.5555555555
14067	600	556666.6666666666
14068	600	1654000
14069	600	1671000
14070	600	633600
14071	600	803888.8888888889
14072	600	633400
14021	602	361200
14022	602	915700
14031	602	1465000
14035	602	753600
14036	602	681111.1111111111
13982	605	988333.3333333333
13983	605	1418888.8888888888
13984	605	1419000
13985	605	493800
13986	605	798333.3333333333
13987	605	578700
14007	605	1924444.4444444445
13865	609	341900
13866	609	483200
13867	609	341200
13970	609	1600555.5555555555
13975	609	1131666.6666666667
13960	610	1951000
13954	614	642222.2222222222
13955	614	553333.3333333334
13958	614	494388.8888888889
13959	614	465900
13916	615	528300
13935	617	1166111.111111111
13936	617	725700
13937	617	1012000
13850	619	434200
13851	619	912400
13865	633	394300
13867	633	540000
